"","variable","missingValues","class","distinctValues","perMissingValues","sampleValue","nonMissingValues","missingPercentage","minimum","mean","maximum","stdDeviation","variance","p01","p05","p10","p25","p50","p75","p90","p95","p99","numOutliers"
"955","TM.TAX.TCOM.SM.FN.ZS",3074,"numeric",985,56.72,NA,2346,56.72,0,11.6204006820119,101.55,7.48591650048133,56.0389458521786,0,3.435,4.79,7.3,11,13.62,19.29,26.1375,40.031,151
"956","TM.TAX.TCOM.SR.ZS",3079,"numeric",977,56.81,NA,2341,56.81,0,11.429878721273,93.70203,13.7347781182164,188.644129956635,0,0,0,0,3.761349,23.45679,29.85218,34.51117,48.1417919999998,21
"957","TM.TAX.TCOM.WM.AR.ZS",3079,"numeric",1063,56.81,NA,2341,56.81,0,7.24364801366937,571.77,15.8469410896862,251.125541899984,0,0.42,0.72,2.23,4.78,9.58,14.51,18.93,35.3199999999999,79
"958","TM.TAX.TCOM.WM.FN.ZS",3079,"numeric",1108,56.81,NA,2341,56.81,0,8.61017086715079,572.01,15.8275002174438,250.509763133185,0,1.24,1.66,3.74,6.37,10.79,16.09,19.89,36.8999999999999,86
"959","TM.VAL.AGRI.ZS.UN",1868,"numeric",3553,34.46,"1.13185551324677",3552,34.46,0.00237097073842654,1.74593496286978,42.3214907387676,1.56408045073482,2.44634765637083,0.169872350649192,0.400160716465903,0.56220619018543,0.895977585424472,1.42117437643184,2.21614389996649,3.15941843391571,4.03172615958529,6.17586991420857,159
"960","TM.VAL.FOOD.ZS.UN",1862,"numeric",3559,34.35,"8.25240569034663",3558,34.35,0.473915042453644,13.9319911698734,62.416018386306,7.64997411433738,58.522103950032,3.20947708316515,4.88365793160346,5.70872777015214,8.1498394516574,12.4794405752313,17.8022429532374,23.7269013755215,28.5650062369244,38.7804616004638,107
"961","TM.VAL.FUEL.ZS.UN",1867,"numeric",3554,34.45,"7.69330956141685",3553,34.45,0.00274203274731649,13.4694996828824,55.628510041667,8.68460441061892,75.4223537689416,0.40121310525937,1.33093772755986,2.93293162991226,7.36552306814579,12.1729342347779,18.3800507006112,24.8370738624841,29.9336217248819,38.9745803521415,76
"962","TM.VAL.ICTG.ZS.UN",3118,"numeric",2303,57.53,NA,2302,57.53,0.0033180883,7.20848919465013,51.4769379908,6.48147764897315,42.0095525141385,0.995666836042,2.0625600228,2.56639670913,3.63080712695,5.29440342775,8.16825845135,13.15909925662,19.30611379015,38.86880661869,184
"963","TM.VAL.INSF.ZS.WT",3848,"numeric",1573,71,NA,1572,71,-81.210692614104,7.99309876358023,566.814778928468,17.4682641296999,305.140251704959,0.378456641577664,1.37845429927507,1.98678433516973,3.46662334884468,5.65027142075727,9.41200057546594,13.1395211401481,17.4857815789069,49.1084744570301,77
"964","TM.VAL.MANF.ZS.UN",1862,"numeric",3559,34.35,"63.0543758107655",3558,34.35,6.57396430611741,66.0187628371273,92.9907001828933,12.4445233768174,154.866162076155,30.8633100621039,44.7141308291296,48.9610308401142,58.7521020051728,67.4349643361878,75.3353644337111,80.5883872271969,83.0660853699882,88.4862805651273,48
"965","TM.VAL.MMTL.ZS.UN",1865,"numeric",3556,34.41,NA,3555,34.41,0.0500392786806377,2.28546170086163,40.369125869136,2.05078912905492,4.20573605184983,0.204688095973781,0.404313858384096,0.540674754940454,0.935187598491618,1.76214943890703,3.02605452947731,4.52036087351661,5.85151435315041,9.13438071102697,156
"966","TM.VAL.MRCH.AL.ZS",1473,"numeric",3870,27.18,"6.15542377841135",3947,27.18,0,5.16488973100345,75.4520243543031,8.70455348334799,75.7692513444657,0,0.00666754057394497,0.0296674616113809,0.212213060643441,1.38499074616334,5.85207710805602,15.7349710538231,25.0516045378393,39.5764446077211,431
"967","TM.VAL.MRCH.CD.WT",634,"numeric",4391,11.7,"3.192e+09",4786,11.7,3500000,52144102183.6665,2412547024000,170231175264.907,2.89786530320715e+22,40686900,1.3e+08,259144000,913617500,4.027e+09,25500242750,126071500000,266613603882.5,717279952180.213,742
"968","TM.VAL.MRCH.HI.ZS",1045,"numeric",4375,19.28,"30.0632760759633",4375,19.28,6.84688373370491,68.4871453625283,100,18.8209994415007,354.23001997697,16.042252793533,32.6982639897197,42.7217127617268,56.4465082722635,71.1130537728611,83.957964812246,90.4515983070681,92.7895148889941,97.961312655969,41
"969","TM.VAL.MRCH.OR.ZS",1843,"numeric",3562,34,"28.0823852738403",3577,34,0,16.2848954827241,78.8495154905429,12.809105800921,164.073191419188,0.373539274956656,1.48003714725249,3.02525175472703,6.75343753013471,12.6636815770632,22.8951839760268,34.6061855472349,41.6407770680018,56.890599485119,98
"970","TM.VAL.MRCH.R1.ZS",2039,"numeric",3375,37.62,"2.20824983698556",3381,37.62,0,10.9464883733175,89.9463905412352,12.5853119901448,158.390077889283,0.180883951726005,0.850204976158105,1.49396552663692,3.26562815819156,6.76993867391095,13.3712822285878,25.5905909756244,35.7532519107429,62.554599564256,282
"971","TM.VAL.MRCH.R2.ZS",2750,"numeric",2659,50.74,NA,2670,50.74,0,5.39236445705137,85.8072785615753,9.7750615019704,95.5518273673038,0.0212068921427879,0.105113724111947,0.193264774707477,0.450756249568781,1.52207646744059,5.03991636208389,16.1371353519049,27.6750809011272,45.468806893227,350
"972","TM.VAL.MRCH.R3.ZS",1736,"numeric",3673,32.03,"1.05667683556538",3684,32.03,0,5.04747134191758,85.7645909738122,8.76657290604493,76.8528005170011,0.00672678869703343,0.102744621702711,0.213330947124734,0.659260299379781,1.48239432094636,4.03441340250401,17.1963145841131,26.4974246958679,37.1887165690658,591
